city,station_name,median_household_income_census_block,bucket
Chicago,Kedzie Ave & 48th Pl,37581,2
Chicago,Archer Ave & 43rd St,37627,2
Chicago,Kildare Ave & 26th St,37866,2
Chicago,Cottage Grove Ave & 67th St,37962,2
Chicago,Western Ave & Howard St,38214,2
Chicago,Greenwood Ave & 91st St,38375,2
Chicago,Sacramento Blvd & Franklin Blvd,38404,2
Chicago,Kedzie Ave & Chicago Ave,38404,2
Chicago,Campbell Ave & 51st St,38426,2
Chicago,Ashland Ave & Archer Ave,38448,2
Chicago,Clinton St & 18th St,38448,2
Chicago,Laramie Ave & Gladys Ave,38500,2
Chicago,Laramie Ave & Madison St,38500,2
Chicago,Meade Ave & Diversey Ave,38507,2
Chicago,Laramie Ave & Kinzie St,38542,2
Chicago,Kildare Ave & Division St,38603,2
Chicago,Elizabeth St & 47th St,38750,2
Chicago,Tripp Ave & 65th St,38945,2
Chicago,Kenosha & Wellington,38967,2
Chicago,Greenview Ave & Jarvis Ave,39004,2
Chicago,Princeton Ave & 47th St,39250,2
Chicago,Shields Ave & 43rd St,39250,2
Chicago,Artesian Ave & 55th St,39338,2
Chicago,Sedgwick St & Schiller St,39449,2
Chicago,Kimbark Ave & 53rd St,39514,2
Chicago,Wolcott Ave & Fargo Ave,39535,2
Chicago,Ridge Blvd & Howard St,39535,2
Chicago,Damen Ave & Walnut (Lake) St,39544,2
Chicago,Ashland Ave & Lake St,39544,2
Chicago,Ogden Ave & Congress Pkwy,39625,2
Chicago,Damen Ave & Cullerton St,39769,2
Chicago,Martin Luther King Dr & 111th St,40000,2
Chicago,Marquette Ave & 89th St,40110,2
Chicago,Vincennes Ave & 75th St,40144,2
Chicago,Tripp Ave & 31st St,40242,2
Chicago,Elizabeth St & 92nd St,40263,2
Chicago,Steelworkers Park,40393,2
Chicago,Exchange Ave & 79th St,40393,2
Chicago,MLK Jr Dr & 56th St,40598,2
Chicago,Milwaukee Ave & Cuyler Ave,41250,2
Chicago,Homewood Ave & 115th St,41625,2
Chicago,Halsted St & 104th St,41974,2
Chicago,Lamon Ave & Belmont Ave,42330,2
Chicago,Clark St & Lunt Ave,42371,2
